Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population, total",SP.POP.TOTL,Mauritania,MRT,2006027,2695003,3742959,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974,4736139
"Population, total",SP.POP.TOTL,Afghanistan,AFG,10694796,19542982,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2775634
"Population, total",SP.POP.TOTL,Algeria,DZA,25518074,30774621,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225
"Population, total",SP.POP.TOTL,American Samoa,ASM,47818,58230,52995,52217,51368,50448,49463,48424,47321,46189,45035,44273
"Population, total",SP.POP.TOTL,Andorra,AND,53569,66097,71367,71621,71746,72540,73837,75013,76343,77700,79034,79824
"Population, total",SP.POP.TOTL,Angola,AGO,11828638,16394062,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774,35588987
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,63328,75055,88497,89236,89941,90564,91119,91626,92117,92664,93219,93763
"Population, total",SP.POP.TOTL,Argentina,ARG,32637657,37070774,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46234830
"Population, total",SP.POP.TOTL,Armenia,ARM,3556539,3168523,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469
"Population, total",SP.POP.TOTL,Aruba,ABW,65712,89101,102880,103594,104257,104874,105439,105962,106442,106585,106537,106445
"Population, total",SP.POP.TOTL,Australia,AUS,17065128,19028802,23128129,23475686,23815995,24190907,24594202,24966643,25340217,25655289,25688079,25978935
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9042528
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7175200,8048600,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10175016
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,270679,325014,385650,389131,392697,395976,399020,401906,404557,406471,407906,409984
"Population, total",SP.POP.TOTL,Bahrain,BHR,517418,711442,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,1472233
"Population, total",SP.POP.TOTL,Bangladesh,BGD,107147651,129193327,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372
"Population, total",SP.POP.TOTL,Barbados,BRB,258868,264657,276865,277493,278083,278649,279187,279688,280180,280693,281200,281635
"Population, total",SP.POP.TOTL,Belarus,BLR,10189348,9979610,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9208701
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11592952,11669446
"Population, total",SP.POP.TOTL,Belize,BLZ,182589,240406,344688,352335,359871,367313,374693,382066,389095,394921,400031,405272
"Population, total",SP.POP.TOTL,Benin,BEN,5133419,6998023,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895,13352864
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,61833,65001,65138,65237,64554,63873,63918,63911,63893,63764,63532
"Population, total",SP.POP.TOTL,Bhutan,BTN,558442,587207,728889,736357,743274,749761,756121,762096,767459,772506,777486,782455
"Population, total",SP.POP.TOTL,Bolivia,BOL,7096194,8592656,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472,12224110
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4494310,4179350,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943,3233526
"Population, total",SP.POP.TOTL,Botswana,BWA,1341474,1726985,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423,2630296
"Population, total",SP.POP.TOTL,Brazil,BRA,150706446,175873720,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,215313498
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,15617,20104,28657,28971,29366,29739,30060,30335,30610,30910,31122,31305
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,261928,333926,411702,416656,421437,425994,430276,434274,438048,441725,445373,449002
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6465097
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,9131361,11882888,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683,22673762
"Population, total",SP.POP.TOTL,Burundi,BDI,5483793,6307659,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213,12889576
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,364563,458251,539940,546076,552166,558394,564954,571202,577030,582640,587925,593149
"Population, total",SP.POP.TOTL,Cambodia,KHM,8910808,12118841,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023,16767842
"Population, total",SP.POP.TOTL,Cameroon,CMR,11430520,15091594,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087,27198628,27914536
"Population, total",SP.POP.TOTL,Canada,CAN,27691138,30685730,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38007166,38226498,38929902
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,26027,39658,58212,59559,60911,62255,63581,64884,66134,67311,68136,68706
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2809221,3759170,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154,5579144
"Population, total",SP.POP.TOTL,Chad,TCD,5827069,8259137,13216766,13697126,14140274,14592585,15085884,15604210,16126866,16644701,17179740,17723315
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140601,145306,159794,160912,162190,163721,165215,167259,169410,171113,172683,174079
"Population, total",SP.POP.TOTL,Chile,CHL,13342868,15351799,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184,19603733
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1262645000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000
"Population, total",SP.POP.TOTL,Colombia,COL,32601393,39215135,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562,51874024
"Population, total",SP.POP.TOTL,Comoros,COM,431119,536758,699393,714612,730216,746232,761664,776313,790986,806166,821625,836774
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,35987541,48616317,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118,99010212
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2385435,3134030,4828066,4944861,5064386,5186824,5312340,5441062,5570733,5702174,5835806,5970424
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3158253,3979193,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105,5153957,5180829
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,11910540,16799670,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249,28160542
"Population, total",SP.POP.TOTL,Croatia,HRV,4777368,4468302,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3879000,3854000
"Population, total",SP.POP.TOTL,Cuba,CUB,10626680,11105791,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372,11212191
"Population, total",SP.POP.TOTL,Curacao,CUW,145400,133860,153822,155909,157980,159664,160175,159336,157441,154947,152369,149996
"Population, total",SP.POP.TOTL,Cyprus,CYP,788500,948237,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188,1251488
"Population, total",SP.POP.TOTL,Czechia,CZE,10333355,10255063,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10526073
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5339616,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037
"Population, total",SP.POP.TOTL,Djibouti,DJI,577173,742033,971753,989087,1006259,1023261,1040233,1057198,1073994,1090156,1105557,1120849
"Population, total",SP.POP.TOTL,Dominica,DMA,69481,68346,68819,69371,70007,70075,70403,70823,71428,71995,72412,72737
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,7129004,8540791,10157051,10282115,10405832,10527592,10647244,10765531,10881882,10999664,11117873,11228821
"Population, total",SP.POP.TOTL,Ecuador,ECU,10449837,12626507,15722989,15957994,16195902,16439585,16696944,17015672,17343740,17588595,17797737,18001000
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,57214630,71371371,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103
"Population, total",SP.POP.TOTL,El Salvador,SLV,5367179,5958482,6185642,6209526,6231066,6250510,6266654,6276342,6280217,6292731,6314167,6336392
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,465549,684977,1243941,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466,1674908
"Population, total",SP.POP.TOTL,Eritrea,ERI,2149960,2392880,3296367,3323425,3340006,3365287,3396933,3445374,3498818,3555868,3620312,3684032
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1396985,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1344768
"Population, total",SP.POP.TOTL,Eswatini,SWZ,854011,1030496,1118319,1125865,1133936,1142524,1151390,1160428,1169613,1180655,1192271,1201670
"Population, total",SP.POP.TOTL,Ethiopia,ETH,47878073,67031867,97084366,99746766,102471895,105293228,108197950,111129438,114120594,117190911,120283026,123379924
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,47479,45660,48418,48465,48816,49500,50230,50955,51681,52415,52889,53090
"Population, total",SP.POP.TOTL,Fiji,FJI,780430,832509,913453,915560,917200,918371,919019,918996,918465,920422,924610,929766
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5176209,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556880
"Population, total",SP.POP.TOTL,France,FRA,58044701,60921384,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67749632,67935660
"Population, total",SP.POP.TOTL,French Polynesia,PYF,211089,250927,288032,289873,291787,293541,295450,297606,299717,301920,304032,306279
"Population, total",SP.POP.TOTL,Gabon,GAB,983028,1272935,1902226,1966855,2028517,2086206,2140215,2192012,2242785,2292573,2341179,2388992
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1040616,1437539,2124869,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916,2705992
"Population, total",SP.POP.TOTL,Georgia,GEO,4802000,4077131,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,82211508,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,84079811
"Population, total",SP.POP.TOTL,Ghana,GHA,15446982,19665502,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031,33475870
"Population, total",SP.POP.TOTL,Gibraltar,GIB,27317,27741,32411,32452,32520,32565,32602,32648,32685,32709,32669,32649
"Population, total",SP.POP.TOTL,Greece,GRC,10196792,10805808,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10641221,10566531
"Population, total",SP.POP.TOTL,Greenland,GRL,55600,56200,56483,56295,56114,56186,56172,56023,56225,56367,56653,56661
"Population, total",SP.POP.TOTL,Grenada,GRD,99047,107432,116945,117972,118980,119966,120921,121838,122724,123663,124610,125438
"Population, total",SP.POP.TOTL,Guam,GUM,138263,160188,167054,167543,167978,168346,168606,168678,168624,169231,170534,171774
"Population, total",SP.POP.TOTL,Guatemala,GTM,9050115,11589761,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746,17357886
"Population, total",SP.POP.TOTL,Guinea,GIN,6354145,8336967,11055430,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906,13859341
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,973551,1230849,1697753,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721,2105566
"Population, total",SP.POP.TOTL,Guyana,GUY,747116,759051,747420,751115,755031,759087,763252,785514,798753,797202,804567,808726
"Population, total",SP.POP.TOTL,Haiti,HTI,6925331,8360225,10261206,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569,11584996
"Population, total",SP.POP.TOTL,Honduras,HND,5053234,6656725,8960657,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345,10432860
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,5704500,6665000,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10210971,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9683505
"Population, total",SP.POP.TOTL,Iceland,ISL,254826,281205,323764,327386,330815,335439,343400,352721,360563,366463,372520,381900
"Population, total",SP.POP.TOTL,India,IND,870452165,1059633675,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173
"Population, total",SP.POP.TOTL,Indonesia,IDN,182159874,214072421,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,55793629,65544383,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432,88550570
"Population, total",SP.POP.TOTL,Iraq,IRQ,17658381,24628858,35481800,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592,44496122
"Population, total",SP.POP.TOTL,Ireland,IRL,3513974,3805174,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033165,5086988
"Population, total",SP.POP.TOTL,Isle of Man,IMN,68865,75562,84144,83896,83593,83450,83580,83775,83933,84046,84263,84519
"Population, total",SP.POP.TOTL,Israel,ISR,4660000,6289000,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9364700,9550600
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56942108,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59109668,58856847
"Population, total",SP.POP.TOTL,Jamaica,JAM,2392030,2612205,2773129,2784543,2794445,2802695,2808376,2811835,2813773,2820436,2827695,2827377
"Population, total",SP.POP.TOTL,Japan,JPN,123478000,126843000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989
"Population, total",SP.POP.TOTL,Jordan,JOR,3480587,5056174,7694814,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278,11285869
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16348000,14883626,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19000988,19621972
"Population, total",SP.POP.TOTL,Kenya,KEN,23162269,30851606,44792368,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614,54027487
"Population, total",SP.POP.TOTL,Kiribati,KIR,75124,88826,113311,114985,116707,118513,120362,122261,124241,126463,128874,131232
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,20799523,23367059,25001819,25126131,25258015,25389611,25516321,25638149,25755441,25867467,25971909,26069416
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,42869283,47008111,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117
"Population, total",SP.POP.TOTL,Kosovo,XKX,1862000,1700000,1818117,1812771,1788196,1777557,1791003,1797085,1788878,1790133,1786038,1761985
"Population, total",SP.POP.TOTL,Kuwait,KWT,1674938,1934901,3646518,3761584,3908743,4048085,4124904,4317185,4441100,4360444,4250114,4268873
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4391200,4898400,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6691800,6803300
"Population, total",SP.POP.TOTL,Lao PDR,LAO,4314443,5430853,6600742,6691454,6787419,6891363,6997917,7105006,7212053,7319399,7425057,7529475
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2367550,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1883379
"Population, total",SP.POP.TOTL,Lebanon,LBN,3593700,4320642,5678851,6274342,6398940,6258619,6109252,5950839,5781907,5662923,5592631,5489739
"Population, total",SP.POP.TOTL,Lesotho,LSO,1798997,1998630,2073939,2095242,2118521,2143872,2170617,2198017,2225702,2254100,2281454,2305825
"Population, total",SP.POP.TOTL,Liberia,LBR,2209731,2895224,4427313,4519398,4612329,4706097,4796631,4889391,4985289,5087584,5193416,5302681
"Population, total",SP.POP.TOTL,Libya,LBY,4236983,5154790,5985221,6097764,6192235,6282196,6378261,6477793,6569088,6653942,6735277,6812341
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28765,33026,36806,37096,37355,37609,37889,38181,38482,38756,39039,39327
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3499536,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2800839,2833000
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,436300,543360,556319,569604,582014,596336,607950,620001,630419,640064,650774
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,350227,431896,593374,604167,615239,626688,638609,650991,663653,676283,686607,695168
"Population, total",SP.POP.TOTL,Madagascar,MDG,11882762,16216431,23588073,24215976,24850912,25501941,26169542,26846541,27533134,28225177,28915653,29611714
"Population, total",SP.POP.TOTL,Malawi,MWI,9539665,11229387,16024775,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742,20405317
"Population, total",SP.POP.TOTL,Malaysia,MYS,17517054,22945150,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874,33938221
"Population, total",SP.POP.TOTL,Maldives,MDV,224957,282507,400728,416738,435582,454252,472442,489758,504508,514438,521457,523787
"Population, total",SP.POP.TOTL,Mali,MLI,8945026,11239101,17004033,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983,22593590
"Population, total",SP.POP.TOTL,Malta,MLT,354170,390087,425967,434558,445053,455356,467999,484630,504062,515332,518536,523417
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,46047,54224,51352,50419,49410,48329,47187,45989,44728,43413,42050,41569
"Population, total",SP.POP.TOTL,Mauritius,MUS,1058775,1186873,1258927,1261208,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523
"Population, total",SP.POP.TOTL,Mexico,MEX,81720428,97873442,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138,127504125
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,98603,111709,108609,109024,109462,109925,110430,110929,111379,112106,113131,114164
"Population, total",SP.POP.TOTL,Moldova,MDA,2965978,2924668,2859558,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2615199,2592477
"Population, total",SP.POP.TOTL,Monaco,MCO,30329,32465,35425,36110,36760,37071,37044,37029,37034,36922,36686,36469
"Population, total",SP.POP.TOTL,Mongolia,MNG,2161433,2450979,2845153,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782,3398366
"Population, total",SP.POP.TOTL,Montenegro,MNE,606372,604950,621207,621810,622159,622303,622373,622227,622028,621306,619211,616159
"Population, total",SP.POP.TOTL,Morocco,MAR,24570814,28554415,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584,37457971
"Population, total",SP.POP.TOTL,Mozambique,MOZ,13303459,17768505,25251731,26038704,26843246,27696493,28569441,29423878,30285595,31178239,32077072,32969518
"Population, total",SP.POP.TOTL,Myanmar,MMR,40099553,45538332,50648334,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084,54179306
"Population, total",SP.POP.TOTL,Namibia,NAM,1369011,1819141,2204510,2243001,2282704,2323352,2364534,2405680,2446644,2489098,2530151,2567012
"Population, total",SP.POP.TOTL,Nauru,NRU,9598,10377,10694,10940,11185,11437,11682,11924,12132,12315,12511,12668
"Population, total",SP.POP.TOTL,Nepal,NPL,19616530,24559500,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989,30547580
"Population, total",SP.POP.TOTL,Netherlands,NLD,14951510,15925513,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17703090
"Population, total",SP.POP.TOTL,New Caledonia,NCL,170899,213230,263650,268050,269460,270220,270810,271170,271240,272460,274660,276780
"Population, total",SP.POP.TOTL,New Zealand,NZL,3329800,3857700,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5111400,5124100
"Population, total",SP.POP.TOTL,Nicaragua,NIC,4227820,5123222,6119379,6208676,6298598,6389235,6480532,6572233,6663924,6755895,6850540,6948392
"Population, total",SP.POP.TOTL,Niger,NER,8370648,11622665,18653199,19372014,20128124,20921743,21737922,22577058,23443393,24333639,25252722,26207977
"Population, total",SP.POP.TOTL,Nigeria,NGA,95214257,122851984,174726123,179379016,183995785,188666931,193495907,198387623,203304492,208327405,213401323,218541212
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2044174,2026350,2064032,2067471,2070226,2072490,2074502,2076217,2076694,2072531,2065092,2057679
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,48002,80338,52141,51856,51514,51133,50729,50304,49858,49587,49481,49551
"Population, total",SP.POP.TOTL,Norway,NOR,4241473,4490967,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127
"Population, total",SP.POP.TOTL,Oman,OMN,1804524,2344253,3816680,4009267,4191776,4398070,4541854,4601157,4602768,4543399,4520471,4576298
"Population, total",SP.POP.TOTL,Pakistan,PAK,115414069,154369924,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117,235824862
"Population, total",SP.POP.TOTL,Palau,PLW,15293,19726,17805,17796,17794,17816,17837,17864,17916,17972,18024,18055
"Population, total",SP.POP.TOTL,Panama,PAN,2449968,3001731,3821556,3888793,3957099,4026336,4096063,4165255,4232532,4294396,4351267,4408581
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,3864972,5508297,8245627,8464153,8682174,8899169,9114796,9329227,9542486,9749640,9949437,10142619
"Population, total",SP.POP.TOTL,Paraguay,PRY,4059195,5123819,6005652,6090721,6177950,6266615,6355404,6443328,6530026,6618695,6703799,6780744
"Population, total",SP.POP.TOTL,Peru,PER,22109099,26654439,30038809,30353951,30711863,31132779,31605486,32203944,32824861,33304756,33715471,34049588
"Population, total",SP.POP.TOTL,Philippines,PHL,61558898,77958223,99700107,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328,115559009
"Population, total",SP.POP.TOTL,Poland,POL,38110782,38258629,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37747124,37561599
"Population, total",SP.POP.TOTL,Portugal,PRT,9983218,10289898,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10325147,10379007
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3537000,3810605,3593077,3534874,3473232,3406672,3325286,3193354,3193694,3281557,3262693,3221789
"Population, total",SP.POP.TOTL,Qatar,QAT,441675,645937,2035501,2214465,2414573,2595166,2711755,2766732,2807235,2760385,2688235,2695122
"Population, total",SP.POP.TOTL,Romania,ROU,23201835,22442971,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19265250,19119880,18956666
"Population, total",SP.POP.TOTL,Russian Federation,RUS,147969407,146596869,143506995,143819667,144096870,144342397,144496739,144477859,144406261,144073139,143449286,143555736
"Population, total",SP.POP.TOTL,Rwanda,RWA,7319962,8109989,11101350,11368451,11642959,11930899,12230339,12531808,12835028,13146362,13461888,13776698
"Population, total",SP.POP.TOTL,Samoa,WSM,168186,184008,199939,201757,203571,205544,207630,209701,211905,214929,218764,222382
"Population, total",SP.POP.TOTL,San Marino,SMR,23132,26823,33285,33389,33570,33834,34056,34156,34178,34007,33745,33660
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,120343,143714,193757,197497,201124,204632,208036,211344,214599,218641,223107,227380
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,16004763,21547390,31482498,32125564,32749848,33416270,34193122,35018133,35827362,35997107,35950396,36408820
"Population, total",SP.POP.TOTL,Senegal,SEN,7536001,9704287,13595566,13970308,14356181,14751356,15157793,15574909,16000781,16436120,16876720,17316449
"Population, total",SP.POP.TOTL,Serbia,SRB,7586000,7516346,7164132,7130576,7095383,7058322,7020858,6982604,6945235,6899126,6834326,6760087
"Population, total",SP.POP.TOTL,Seychelles,SYC,69507,81131,89949,91359,93419,94677,95843,96762,97625,98462,99258,100060
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,4325388,4584067,6964859,7140688,7314773,7493913,7677565,7861281,8046828,8233970,8420641,8605718
"Population, total",SP.POP.TOTL,Singapore,SGP,3047132,4027887,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5637022
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,27845,30519,36607,37685,38825,39969,40574,40895,41608,42310,42846,43389
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5299187,5388720,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1988925,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2108079,2108732
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,324171,429978,582365,597375,612660,628102,643634,659249,674993,691191,707851,724273
"Population, total",SP.POP.TOTL,Somalia,SOM,6999096,8721465,12852485,13309235,13763906,14292847,14864221,15411094,15981300,16537016,17065581,17597511
"Population, total",SP.POP.TOTL,South Africa,ZAF,39877570,46813266,53873616,54729551,55876504,56422274,56641209,57339635,58087055,58801927,59392255,59893885
"Population, total",SP.POP.TOTL,South Sudan,SSD,4750817,6114440,11106031,11213284,11194299,11066105,10658226,10395329,10447666,10606227,10748272,10913164
"Population, total",SP.POP.TOTL,Spain,ESP,38867322,40567864,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47365655,47415750,47615034
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,17204094,18776371,21131756,21239457,21336697,21425494,21506813,21670000,21803000,21919000,22156000,22181000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,40636,45461,47767,47789,47790,47788,47785,47761,47712,47642,47606,47657
"Population, total",SP.POP.TOTL,St. Lucia,LCA,142301,159500,173978,174804,175623,176413,177163,177888,178583,179237,179651,179857
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,28127,29610,35639,35261,35020,34811,34496,33852,33121,32553,31948,31791
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,112487,113813,107450,106912,106482,105963,105549,105281,104924,104632,104332,103948
"Population, total",SP.POP.TOTL,Sudan,SDN,21090886,26298773,35990704,37003245,38171178,39377169,40679828,41999059,43232093,44440486,45657202,46874204
"Population, total",SP.POP.TOTL,Suriname,SUR,412756,478998,563947,569682,575475,581453,587559,593715,600301,607065,612985,618040
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8872109,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10486941
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,7184250,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8703405,8769741
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,12408996,16307654,21495821,20072232,19205178,18964252,18983373,19333463,20098251,20772595,21324367,22125249
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5417860,6272998,8136610,8326348,8524063,8725318,8925525,9128132,9337003,9543207,9750064,9952787
"Population, total",SP.POP.TOTL,Tanzania,TZA,26206012,34463704,49253643,50814552,52542823,54401802,56267032,58090443,59872579,61704518,63588334,65497748
